Week,zoom: (Switzerland)
2017-04-09,4
2017-04-16,4
2017-04-23,4
2017-04-30,4
2017-05-07,4
2017-05-14,5
2017-05-21,3
2017-05-28,4
2017-06-04,3
2017-06-11,4
2017-06-18,3
2017-06-25,4
2017-07-02,4
2017-07-09,4
2017-07-16,8
2017-07-23,6
2017-07-30,4
2017-08-06,5
2017-08-13,4
2017-08-20,6
2017-08-27,5
2017-09-03,4
2017-09-10,4
2017-09-17,4
2017-09-24,4
2017-10-01,5
2017-10-08,5
2017-10-15,5
2017-10-22,5
2017-10-29,5
2017-11-05,4
2017-11-12,6
2017-11-19,5
2017-11-26,5
2017-12-03,5
2017-12-10,5
2017-12-17,4
2017-12-24,5
2017-12-31,4
2018-01-07,4
2018-01-14,4
2018-01-21,4
2018-01-28,5
2018-02-04,5
2018-02-11,4
2018-02-18,4
2018-02-25,4
2018-03-04,4
2018-03-11,5
2018-03-18,4
2018-03-25,4
2018-04-01,4
2018-04-08,4
2018-04-15,4
2018-04-22,5
2018-04-29,4
2018-05-06,5
2018-05-13,3
2018-05-20,5
2018-05-27,3
2018-06-03,5
2018-06-10,5
2018-06-17,4
2018-06-24,4
2018-07-01,4
2018-07-08,4
2018-07-15,5
2018-07-22,5
2018-07-29,8
2018-08-05,6
2018-08-12,7
2018-08-19,7
2018-08-26,8
2018-09-02,6
2018-09-09,5
2018-09-16,8
2018-09-23,6
2018-09-30,10
2018-10-07,5
2018-10-14,6
2018-10-21,7
2018-10-28,4
2018-11-04,7
2018-11-11,5
2018-11-18,6
2018-11-25,6
2018-12-02,5
2018-12-09,6
2018-12-16,5
2018-12-23,5
2018-12-30,4
2019-01-06,4
2019-01-13,5
2019-01-20,5
2019-01-27,5
2019-02-03,6
2019-02-10,7
2019-02-17,7
2019-02-24,6
2019-03-03,5
2019-03-10,6
2019-03-17,5
2019-03-24,6
2019-03-31,7
2019-04-07,6
2019-04-14,7
2019-04-21,5
2019-04-28,7
2019-05-05,8
2019-05-12,6
2019-05-19,6
2019-05-26,23
2019-06-02,9
2019-06-09,6
2019-06-16,6
2019-06-23,5
2019-06-30,5
2019-07-07,6
2019-07-14,7
2019-07-21,7
2019-07-28,9
2019-08-04,9
2019-08-11,9
2019-08-18,8
2019-08-25,9
2019-09-01,8
2019-09-08,8
2019-09-15,12
2019-09-22,8
2019-09-29,10
2019-10-06,7
2019-10-13,7
2019-10-20,9
2019-10-27,6
2019-11-03,10
2019-11-10,8
2019-11-17,6
2019-11-24,10
2019-12-01,7
2019-12-08,7
2019-12-15,6
2019-12-22,5
2019-12-29,5
2020-01-05,6
2020-01-12,6
2020-01-19,7
2020-01-26,7
2020-02-02,7
2020-02-09,9
2020-02-16,8
2020-02-23,7
2020-03-01,7
2020-03-08,14
2020-03-15,66
2020-03-22,100
2020-03-29,99
2020-04-05,72
2020-04-12,57
2020-04-19,58
2020-04-26,54
2020-05-03,43
2020-05-10,38
2020-05-17,29
2020-05-24,28
2020-05-31,26
2020-06-07,24
2020-06-14,25
2020-06-21,22
2020-06-28,18
2020-07-05,16
2020-07-12,16
2020-07-19,15
2020-07-26,13
2020-08-02,14
2020-08-09,16
2020-08-16,17
2020-08-23,16
2020-08-30,20
2020-09-06,18
2020-09-13,23
2020-09-20,22
2020-09-27,19
2020-10-04,16
2020-10-11,19
2020-10-18,27
2020-10-25,38
2020-11-01,40
2020-11-08,39
2020-11-15,33
2020-11-22,30
2020-11-29,29
2020-12-06,29
2020-12-13,28
2020-12-20,20
2020-12-27,15
2021-01-03,27
2021-01-10,33
2021-01-17,42
2021-01-24,41
2021-01-31,32
2021-02-07,32
2021-02-14,29
2021-02-21,30
2021-02-28,32
2021-03-07,29
2021-03-14,28
2021-03-21,29
2021-03-28,21
2021-04-04,20
2021-04-11,26
2021-04-18,24
2021-04-25,22
2021-05-02,23
2021-05-09,17
2021-05-16,21
2021-05-23,18
2021-05-30,17
2021-06-06,15
2021-06-13,14
2021-06-20,14
2021-06-27,12
2021-07-04,11
2021-07-11,11
2021-07-18,10
2021-07-25,11
2021-08-01,10
2021-08-08,9
2021-08-15,12
2021-08-22,13
2021-08-29,13
2021-09-05,14
2021-09-12,16
2021-09-19,16
2021-09-26,13
2021-10-03,14
2021-10-10,12
2021-10-17,15
2021-10-24,15
2021-10-31,15
2021-11-07,14
2021-11-14,14
2021-11-21,16
2021-11-28,15
2021-12-05,17
2021-12-12,18
2021-12-19,12
2021-12-26,8
2022-01-02,15
2022-01-09,21
2022-01-16,20
2022-01-23,21
2022-01-30,16
2022-02-06,16
2022-02-13,17
2022-02-20,13
2022-02-27,13
2022-03-06,18
2022-03-13,15
2022-03-20,15
2022-03-27,14
2022-04-03,12
