Week,zoom: (Israel)
2017-04-09,1
2017-04-16,1
2017-04-23,2
2017-04-30,1
2017-05-07,1
2017-05-14,2
2017-05-21,2
2017-05-28,2
2017-06-04,2
2017-06-11,1
2017-06-18,2
2017-06-25,2
2017-07-02,2
2017-07-09,1
2017-07-16,2
2017-07-23,1
2017-07-30,2
2017-08-06,2
2017-08-13,2
2017-08-20,1
2017-08-27,1
2017-09-03,1
2017-09-10,1
2017-09-17,1
2017-09-24,2
2017-10-01,1
2017-10-08,2
2017-10-15,2
2017-10-22,2
2017-10-29,2
2017-11-05,2
2017-11-12,2
2017-11-19,2
2017-11-26,2
2017-12-03,1
2017-12-10,2
2017-12-17,2
2017-12-24,2
2017-12-31,2
2018-01-07,2
2018-01-14,2
2018-01-21,2
2018-01-28,2
2018-02-04,2
2018-02-11,2
2018-02-18,1
2018-02-25,2
2018-03-04,2
2018-03-11,2
2018-03-18,2
2018-03-25,2
2018-04-01,2
2018-04-08,2
2018-04-15,1
2018-04-22,2
2018-04-29,2
2018-05-06,2
2018-05-13,2
2018-05-20,2
2018-05-27,1
2018-06-03,2
2018-06-10,2
2018-06-17,2
2018-06-24,2
2018-07-01,2
2018-07-08,2
2018-07-15,2
2018-07-22,2
2018-07-29,3
2018-08-05,2
2018-08-12,2
2018-08-19,2
2018-08-26,2
2018-09-02,2
2018-09-09,2
2018-09-16,1
2018-09-23,2
2018-09-30,2
2018-10-07,2
2018-10-14,2
2018-10-21,2
2018-10-28,2
2018-11-04,2
2018-11-11,2
2018-11-18,2
2018-11-25,2
2018-12-02,2
2018-12-09,2
2018-12-16,3
2018-12-23,2
2018-12-30,1
2019-01-06,2
2019-01-13,2
2019-01-20,2
2019-01-27,2
2019-02-03,2
2019-02-10,2
2019-02-17,3
2019-02-24,2
2019-03-03,2
2019-03-10,2
2019-03-17,2
2019-03-24,3
2019-03-31,2
2019-04-07,2
2019-04-14,2
2019-04-21,2
2019-04-28,3
2019-05-05,2
2019-05-12,2
2019-05-19,2
2019-05-26,2
2019-06-02,3
2019-06-09,3
2019-06-16,2
2019-06-23,2
2019-06-30,2
2019-07-07,3
2019-07-14,3
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,2
2019-08-18,2
2019-08-25,2
2019-09-01,2
2019-09-08,2
2019-09-15,2
2019-09-22,2
2019-09-29,2
2019-10-06,3
2019-10-13,2
2019-10-20,2
2019-10-27,2
2019-11-03,2
2019-11-10,3
2019-11-17,3
2019-11-24,3
2019-12-01,3
2019-12-08,3
2019-12-15,2
2019-12-22,2
2019-12-29,3
2020-01-05,3
2020-01-12,3
2020-01-19,3
2020-01-26,3
2020-02-02,2
2020-02-09,2
2020-02-16,3
2020-02-23,3
2020-03-01,3
2020-03-08,12
2020-03-15,94
2020-03-22,100
2020-03-29,92
2020-04-05,67
2020-04-12,45
2020-04-19,78
2020-04-26,46
2020-05-03,33
2020-05-10,29
2020-05-17,22
2020-05-24,16
2020-05-31,17
2020-06-07,16
2020-06-14,16
2020-06-21,15
2020-06-28,14
2020-07-05,18
2020-07-12,19
2020-07-19,16
2020-07-26,16
2020-08-02,17
2020-08-09,14
2020-08-16,15
2020-08-23,16
2020-08-30,25
2020-09-06,31
2020-09-13,40
2020-09-20,49
2020-09-27,36
2020-10-04,24
2020-10-11,37
2020-10-18,36
2020-10-25,30
2020-11-01,23
2020-11-08,24
2020-11-15,24
2020-11-22,20
2020-11-29,20
2020-12-06,19
2020-12-13,17
2020-12-20,20
2020-12-27,21
2021-01-03,23
2021-01-10,34
2021-01-17,28
2021-01-24,25
2021-01-31,24
2021-02-07,22
2021-02-14,19
2021-02-21,16
2021-02-28,18
2021-03-07,17
2021-03-14,14
2021-03-21,10
2021-03-28,6
2021-04-04,12
2021-04-11,10
2021-04-18,12
2021-04-25,11
2021-05-02,11
2021-05-09,12
2021-05-16,11
2021-05-23,11
2021-05-30,10
2021-06-06,9
2021-06-13,9
2021-06-20,7
2021-06-27,9
2021-07-04,8
2021-07-11,8
2021-07-18,7
2021-07-25,7
2021-08-01,6
2021-08-08,8
2021-08-15,7
2021-08-22,7
2021-08-29,10
2021-09-05,7
2021-09-12,10
2021-09-19,7
2021-09-26,8
2021-10-03,8
2021-10-10,9
2021-10-17,7
2021-10-24,9
2021-10-31,7
2021-11-07,9
2021-11-14,10
2021-11-21,9
2021-11-28,8
2021-12-05,8
2021-12-12,9
2021-12-19,10
2021-12-26,11
2022-01-02,16
2022-01-09,18
2022-01-16,19
2022-01-23,14
2022-01-30,11
2022-02-06,10
2022-02-13,11
2022-02-20,10
2022-02-27,10
2022-03-06,8
2022-03-13,8
2022-03-20,9
2022-03-27,8
2022-04-03,7
